m, n, rs_src, cs_src, rs_dst, cs_dst, GB_per_s
16, 80, 80, 1, 1, 80, 50.360657
16, 96, 96, 1, 1, 96, 50.498631
16, 112, 112, 1, 1, 112, 50.009304
16, 128, 128, 1, 1, 128, 50.155102
16, 144, 144, 1, 1, 144, 50.269093
16, 160, 160, 1, 1, 160, 50.360657
16, 176, 176, 1, 1, 176, 50.435822
16, 192, 192, 1, 1, 192, 50.498631
16, 208, 208, 1, 1, 208, 50.233963
16, 224, 224, 1, 1, 224, 51.200001
16, 240, 240, 1, 1, 240, 51.200001
16, 256, 256, 1, 1, 256, 50.934715
16, 272, 272, 1, 1, 272, 51.200001
16, 288, 288, 1, 1, 288, 50.964058
16, 304, 304, 1, 1, 304, 51.200001
16, 320, 320, 1, 1, 320, 51.200001
16, 336, 336, 1, 1, 336, 51.403984
16, 352, 352, 1, 1, 352, 51.394676
16, 368, 368, 1, 1, 368, 51.386181
16, 384, 384, 1, 1, 384, 51.378395
16, 400, 400, 1, 1, 400, 51.543625
16, 416, 416, 1, 1, 416, 51.530319
16, 432, 432, 1, 1, 432, 51.678505
16, 448, 448, 1, 1, 448, 51.352837
16, 464, 464, 1, 1, 464, 51.347553
16, 480, 480, 1, 1, 480, 51.342621
16, 496, 496, 1, 1, 496, 51.338009
